Тайтл,Общее время (ч.),Количество просмотров,Количество платных просмотров,Среднее время (сек),Binge-Watch Rate,Средняя глубина просмотра тайтла (%),Источник: Главная (%),Источник: Пуш (%),Источник: Список эпизодов (%),Источник: Следующий эпизод (%),Источник: Диплинк (%),Источник: Лента (%),Источник: История (%),Источник: Поиск (%),Источник: Жанр (%),Источник: Избранное (%),Источник: Карусель (%),Источник: Внутри подборки (%),Источник: Каталог (%),Источник: Предыдущий эпизод (%),Retention 3 (%),Retention 5 (%),Retention 10 (%),Retention 15 (%),Источник: Подборка (%),Retention 30 (%),Источник: Внутри карусели (%)
Cleopatra,54.120555555555555,5998,42,32.48316105368456,2.8348214285714284,2.8234552829976503,1.1670556852284095,0.016672224074691565,4.05135045015005,44.648216072024006,0.20006668889629878,21.707235745248415,1.0003334444814937,2.66755585195065,1.7505835278426143,0.3667889296432144,1.2837612537512504,0.6502167389129709,2.7675891963987995,2.8509503167722574,69.28976325441813,59.01967322440814,46.748916305435145,40.5135045015005,13.337779259753251,33.06102034011337,0.0
Небесный тихоход,49.290277777777774,3001,64,59.12862379206931,2.5294117647058822,8.297692853729227,1.299566811062979,0.0,0.6997667444185272,66.67777407530824,0.0,10.963012329223591,0.06664445184938354,3.4321892702432524,0.733088970343219,0.0,0.03332222592469177,2.6991002999000333,5.531489503498833,1.3328890369876707,86.27124291902699,78.47384205264912,70.64311896034656,66.11129623458847,6.331222925691436,60.77974008663779,0.0
Белый Клык,42.63333333333333,2465,40,62.26369168356998,4.336538461538462,7.745928693851102,0.16227180527383367,0.0,0.486815415821501,63.6105476673428,0.0,12.129817444219068,0.16227180527383367,1.6632860040567952,0.7302231237322515,0.0,0.0,4.259634888438134,10.223123732251521,2.9614604462474645,84.74645030425964,76.67342799188641,67.09939148073022,63.24543610547667,3.2454361054766734,58.012170385395535,0.0
Любить тебя заново,40.51111111111111,2481,0,58.78274889157598,3.6936026936026938,41.48780314344641,0.0,0.04030632809351068,1.5719467956469166,59.854897218863364,1.77347843611447,1.894397420395002,0.28214429665457474,3.1841999193873436,0.7255139056831923,0.08061265618702136,6.1265618702136235,0.16122531237404272,2.0556227327690446,4.997984683595324,83.91777509068923,75.0906892382104,66.0217654171705,62.19266424828698,14.79242241031842,55.824264409512296,0.0
Married to a Stranger,40.24611111111111,3400,42,42.61352941176471,6.0,2.356966003702535,1.9705882352941178,0.0,2.411764705882353,54.8235294117647,0.0,10.323529411764707,0.6764705882352942,0.8823529411764706,1.2058823529411764,1.1176470588235294,0.0,1.7941176470588236,2.2941176470588234,3.5294117647058822,81.05882352941177,70.08823529411765,57.911764705882355,53.3235294117647,18.441176470588236,46.85294117647059,0.0
Каменный цветок,39.253055555555555,3102,20,45.55480335267569,3.5497076023391814,4.218445320905262,0.1289490651192779,0.0,0.9993552546744036,55.89941972920696,0.0,9.477756286266924,0.3546099290780142,0.38684719535783363,1.6118633139909735,0.032237266279819474,0.0,1.6763378465506125,4.061895551257253,6.995486782720826,81.14119922630562,71.05093488072211,59.219858156028366,52.45003223726628,17.988394584139265,41.7150225660864,0.0
Свинарка и пастух,34.38805555555555,2492,49,49.67776886035313,3.7560975609756095,5.211735023581777,1.2841091492776886,0.0,0.4012841091492777,63.08186195826645,0.0,11.476725521669342,0.32102728731942215,2.6886035313001604,0.9229534510433387,0.08025682182985554,0.0,2.5280898876404496,6.019261637239166,1.203852327447833,83.22632423756019,72.31139646869984,62.31942215088282,58.386837881219904,9.911717495987158,51.12359550561798,0.0
Алёша Птицын,33.3975,2797,9,42.98569896317483,2.8024193548387095,3.380906906744773,0.07150518412584912,0.0,1.2870933142652843,48.158741508759384,0.0,10.296746514122274,0.32177332856632107,3.0389703253485876,1.5731140507686807,0.21451555237754738,0.0,0.8938148015731141,10.153736145870576,6.435466571326421,81.19413657490168,69.82481229889167,55.631033249910615,50.01787629603146,17.053986414015014,40.9009653199857,0.0
The Escort,32.42888888888889,2048,17,57.00390625,2.8815789473684212,2.9728576245048375,0.439453125,0.0,4.833984375,54.98046875,0.048828125,17.87109375,0.439453125,1.611328125,0.0,1.318359375,0.0,0.0,15.966796875,2.197265625,76.3671875,66.943359375,58.203125,53.466796875,0.0,47.4609375,0.0
Иван Никулин — русский матрос,30.14388888888889,1866,35,58.155412647374064,2.9166666666666665,6.6402812809394955,0.48231511254019294,0.0,0.5359056806002144,60.12861736334405,0.0,16.613076098606644,0.37513397642015006,1.0182207931404073,1.1789924973204715,0.0,0.05359056806002144,3.429796355841372,10.182207931404072,3.054662379421222,81.08252947481243,73.90139335476957,66.02357984994642,61.843515541264736,2.7867095391211145,55.841371918542336,0.0
